country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,,Entity,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people
,,,,,,,,vanuatu,9.54,15629.77
,,,,,,,,vatican,,35714.286
,,,,,,,,venezuela,198.259,18156.661
,,,,,,,,vietnam,435.301,102585.435
,,,,,,,,wallis and futuna,630.972,40923.021
,,,,,,,,world,783.584,63027.567
,,,,,,,,world excl. china,958.84,77129.364
,,,,,,,,yemen,70.349,387.398
,,,,,,,,zambia,209.665,16779.703
,,,,,,,,zimbabwe,361.446,16357.488
